Lv,ATK_Base,ATK_Pow,HP_Base,HP_Pow,DEF_Base,DEF_Pow,HPREC_Base,HPREC_Pow,CR_Base,CR_Pow,ATKT_Base,ATKT_Pow,OFFT,GOLDR,ATKR,OFFA,ATKSP,RCD,UCR_Base,UCR_Pow,ATKB,CD,DEFR,IGNDEF_Base,IGNDEF_Pow
9907,1.093602635,90,,,,,,,,,,,,,,,,,,,3753.5,3753.5,3753.5,9.997845378,-1
9908,1.115474687,90,,,,,,,,,,,,,,,,,,,3754,3754,3754,9.997846994,-1
9909,1.137784181,90,,,,,,,,,,,,,,,,,,,3754.5,3754.5,3754.5,9.997848609,-1
9910,1.160539865,90,,,,,,,,,,,,,,,,,,,3755,3755,3755,9.997850222,-1
9911,1.183750662,90,,,,,,,,,,,,,,,,,,,3755.5,3755.5,3755.5,9.997851834,-1
9912,1.207425675,90,,,,,,,,,,,,,,,,,,,3756,3756,3756,9.997853446,-1
9913,1.231574189,90,,,,,,,,,,,,,,,,,,,3756.5,3756.5,3756.5,9.997855055,-1
9914,1.256205673,90,,,,,,,,,,,,,,,,,,,3757,3757,3757,9.997856664,-1
9915,1.281329786,90,,,,,,,,,,,,,,,,,,,3757.5,3757.5,3757.5,9.997858272,-1
9916,1.306956382,90,,,,,,,,,,,,,,,,,,,3758,3758,3758,9.997859878,-1
9917,1.333095509,90,,,,,,,,,,,,,,,,,,,3758.5,3758.5,3758.5,9.997861483,-1
9918,1.35975742,90,,,,,,,,,,,,,,,,,,,3759,3759,3759,9.997863087,-1
9919,1.386952568,90,,,,,,,,,,,,,,,,,,,3759.5,3759.5,3759.5,9.99786469,-1
9920,1.414691619,90,,,,,,,,,,,,,,,,,,,3760,3760,3760,9.997866291,-1
9921,1.442985452,90,,,,,,,,,,,,,,,,,,,3760.5,3760.5,3760.5,9.997867891,-1
9922,1.471845161,90,,,,,,,,,,,,,,,,,,,3761,3761,3761,9.99786949,-1
9923,1.501282064,90,,,,,,,,,,,,,,,,,,,3761.5,3761.5,3761.5,9.997871088,-1
9924,1.531307705,90,,,,,,,,,,,,,,,,,,,3762,3762,3762,9.997872685,-1
9925,1.561933859,90,,,,,,,,,,,,,,,,,,,3762.5,3762.5,3762.5,9.997874281,-1
9926,1.593172537,90,,,,,,,,,,,,,,,,,,,3763,3763,3763,9.997875875,-1
9927,1.625035987,90,,,,,,,,,,,,,,,,,,,3763.5,3763.5,3763.5,9.997877468,-1
9928,1.657536707,90,,,,,,,,,,,,,,,,,,,3764,3764,3764,9.99787906,-1
9929,1.690687441,90,,,,,,,,,,,,,,,,,,,3764.5,3764.5,3764.5,9.997880651,-1
9930,1.72450119,90,,,,,,,,,,,,,,,,,,,3765,3765,3765,9.99788224,-1
9931,1.758991214,90,,,,,,,,,,,,,,,,,,,3765.5,3765.5,3765.5,9.997883828,-1
9932,1.794171038,90,,,,,,,,,,,,,,,,,,,3766,3766,3766,9.997885415,-1
9933,1.830054459,90,,,,,,,,,,,,,,,,,,,3766.5,3766.5,3766.5,9.997887001,-1
9934,1.866655548,90,,,,,,,,,,,,,,,,,,,3767,3767,3767,9.997888586,-1
9935,1.903988659,90,,,,,,,,,,,,,,,,,,,3767.5,3767.5,3767.5,9.99789017,-1
9936,1.942068432,90,,,,,,,,,,,,,,,,,,,3768,3768,3768,9.997891752,-1
9937,1.980909801,90,,,,,,,,,,,,,,,,,,,3768.5,3768.5,3768.5,9.997893333,-1
9938,2.020527997,90,,,,,,,,,,,,,,,,,,,3769,3769,3769,9.997894913,-1
9939,2.060938557,90,,,,,,,,,,,,,,,,,,,3769.5,3769.5,3769.5,9.997896492,-1
9940,2.102157328,90,,,,,,,,,,,,,,,,,,,3770,3770,3770,9.99789807,-1
9941,2.144200474,90,,,,,,,,,,,,,,,,,,,3770.5,3770.5,3770.5,9.997899646,-1
9942,2.187084484,90,,,,,,,,,,,,,,,,,,,3771,3771,3771,9.997901221,-1
9943,2.230826174,90,,,,,,,,,,,,,,,,,,,3771.5,3771.5,3771.5,9.997902796,-1
9944,2.275442697,90,,,,,,,,,,,,,,,,,,,3772,3772,3772,9.997904368,-1
9945,2.320951551,90,,,,,,,,,,,,,,,,,,,3772.5,3772.5,3772.5,9.99790594,-1
9946,2.367370582,90,,,,,,,,,,,,,,,,,,,3773,3773,3773,9.997907511,-1
9947,2.414717994,90,,,,,,,,,,,,,,,,,,,3773.5,3773.5,3773.5,9.99790908,-1
9948,2.463012354,90,,,,,,,,,,,,,,,,,,,3774,3774,3774,9.997910648,-1
9949,2.512272601,90,,,,,,,,,,,,,,,,,,,3774.5,3774.5,3774.5,9.997912215,-1
9950,2.562518053,90,,,,,,,,,,,,,,,,,,,3775,3775,3775,9.997913781,-1
9951,2.613768414,90,,,,,,,,,,,,,,,,,,,3775.5,3775.5,3775.5,9.997915346,-1
9952,2.666043782,90,,,,,,,,,,,,,,,,,,,3776,3776,3776,9.997916909,-1
9953,2.719364658,90,,,,,,,,,,,,,,,,,,,3776.5,3776.5,3776.5,9.997918472,-1
9954,2.773751951,90,,,,,,,,,,,,,,,,,,,3777,3777,3777,9.997920033,-1
9955,2.82922699,90,,,,,,,,,,,,,,,,,,,3777.5,3777.5,3777.5,9.997921593,-1
9956,2.88581153,90,,,,,,,,,,,,,,,,,,,3778,3778,3778,9.997923152,-1
9957,2.94352776,90,,,,,,,,,,,,,,,,,,,3778.5,3778.5,3778.5,9.997924709,-1
9958,3.002398315,90,,,,,,,,,,,,,,,,,,,3779,3779,3779,9.997926266,-1
9959,3.062446282,90,,,,,,,,,,,,,,,,,,,3779.5,3779.5,3779.5,9.997927821,-1
9960,3.123695207,90,,,,,,,,,,,,,,,,,,,3780,3780,3780,9.997929375,-1
9961,3.186169111,90,,,,,,,,,,,,,,,,,,,3780.5,3780.5,3780.5,9.997930928,-1
9962,3.249892494,90,,,,,,,,,,,,,,,,,,,3781,3781,3781,9.99793248,-1
9963,3.314890344,90,,,,,,,,,,,,,,,,,,,3781.5,3781.5,3781.5,9.99793403,-1
9964,3.38118815,90,,,,,,,,,,,,,,,,,,,3782,3782,3782,9.99793558,-1
9965,3.448811913,90,,,,,,,,,,,,,,,,,,,3782.5,3782.5,3782.5,9.997937128,-1
9966,3.517788152,90,,,,,,,,,,,,,,,,,,,3783,3783,3783,9.997938675,-1
9967,3.588143915,90,,,,,,,,,,,,,,,,,,,3783.5,3783.5,3783.5,9.997940221,-1
9968,3.659906793,90,,,,,,,,,,,,,,,,,,,3784,3784,3784,9.997941766,-1
9969,3.733104929,90,,,,,,,,,,,,,,,,,,,3784.5,3784.5,3784.5,9.99794331,-1
9970,3.807767027,90,,,,,,,,,,,,,,,,,,,3785,3785,3785,9.997944852,-1
9971,3.883922368,90,,,,,,,,,,,,,,,,,,,3785.5,3785.5,3785.5,9.997946394,-1
9972,3.961600815,90,,,,,,,,,,,,,,,,,,,3786,3786,3786,9.997947934,-1
9973,4.040832832,90,,,,,,,,,,,,,,,,,,,3786.5,3786.5,3786.5,9.997949473,-1
9974,4.121649488,90,,,,,,,,,,,,,,,,,,,3787,3787,3787,9.997951011,-1
9975,4.204082478,90,,,,,,,,,,,,,,,,,,,3787.5,3787.5,3787.5,9.997952548,-1
9976,4.288164128,90,,,,,,,,,,,,,,,,,,,3788,3788,3788,9.997954083,-1
9977,4.37392741,90,,,,,,,,,,,,,,,,,,,3788.5,3788.5,3788.5,9.997955618,-1
9978,4.461405958,90,,,,,,,,,,,,,,,,,,,3789,3789,3789,9.997957151,-1
9979,4.550634078,90,,,,,,,,,,,,,,,,,,,3789.5,3789.5,3789.5,9.997958683,-1
9980,4.641646759,90,,,,,,,,,,,,,,,,,,,3790,3790,3790,9.997960214,-1
9981,4.734479694,90,,,,,,,,,,,,,,,,,,,3790.5,3790.5,3790.5,9.997961744,-1
9982,4.829169288,90,,,,,,,,,,,,,,,,,,,3791,3791,3791,9.997963273,-1
9983,4.925752674,90,,,,,,,,,,,,,,,,,,,3791.5,3791.5,3791.5,9.9979648,-1
9984,5.024267727,90,,,,,,,,,,,,,,,,,,,3792,3792,3792,9.997966327,-1
9985,5.124753082,90,,,,,,,,,,,,,,,,,,,3792.5,3792.5,3792.5,9.997967852,-1
9986,5.227248144,90,,,,,,,,,,,,,,,,,,,3793,3793,3793,9.997969376,-1
9987,5.331793106,90,,,,,,,,,,,,,,,,,,,3793.5,3793.5,3793.5,9.997970899,-1
9988,5.438428969,90,,,,,,,,,,,,,,,,,,,3794,3794,3794,9.997972421,-1
9989,5.547197548,90,,,,,,,,,,,,,,,,,,,3794.5,3794.5,3794.5,9.997973941,-1
9990,5.658141499,90,,,,,,,,,,,,,,,,,,,3795,3795,3795,9.997975461,-1
9991,5.771304329,90,,,,,,,,,,,,,,,,,,,3795.5,3795.5,3795.5,9.997976979,-1
9992,5.886730415,90,,,,,,,,,,,,,,,,,,,3796,3796,3796,9.997978497,-1
9993,6.004465024,90,,,,,,,,,,,,,,,,,,,3796.5,3796.5,3796.5,9.997980013,-1
9994,6.124554324,90,,,,,,,,,,,,,,,,,,,3797,3797,3797,9.997981528,-1
9995,6.247045411,90,,,,,,,,,,,,,,,,,,,3797.5,3797.5,3797.5,9.997983042,-1
9996,6.371986319,90,,,,,,,,,,,,,,,,,,,3798,3798,3798,9.997984554,-1
9997,6.499426045,90,,,,,,,,,,,,,,,,,,,3798.5,3798.5,3798.5,9.997986066,-1
9998,6.629414566,90,,,,,,,,,,,,,,,,,,,3799,3799,3799,9.997987576,-1
9999,6.762002858,90,,,,,,,,,,,,,,,,,,,3799.5,3799.5,3799.5,9.997989086,-1
10000,6.897242915,90,,,,,,,,,,,,,,,,,,,3800,3800,3800,9.997990594,-1
10001,7.035187773,90,,,,,,,,,,,,,,,,,,,,,,,-1
10002,7.175891528,90,,,,,,,,,,,,,,,,,,,,,,,
10003,7.319409359,90,,,,,,,,,,,,,,,,,,,,,,,
10004,7.465797546,90,,,,,,,,,,,,,,,,,,,,,,,
10005,7.615113497,90,,,,,,,,,,,,,,,,,,,,,,,
10006,7.767415767,90,,,,,,,,,,,,,,,,,,,,,,,
10007,7.922764082,90,,,,,,,,,,,,,,,,,,,,,,,
10008,8.081219364,90,,,,,,,,,,,,,,,,,,,,,,,
10009,8.242843751,90,,,,,,,,,,,,,,,,,,,,,,,
10010,8.407700626,90,,,,,,,,,,,,,,,,,,,,,,,
10011,8.575854639,90,,,,,,,,,,,,,,,,,,,,,,,
10012,8.747371732,90,,,,,,,,,,,,,,,,,,,,,,,
10013,8.922319166,90,,,,,,,,,,,,,,,,,,,,,,,
10014,9.10076555,90,,,,,,,,,,,,,,,,,,,,,,,
10015,9.282780861,90,,,,,,,,,,,,,,,,,,,,,,,
10016,9.468436478,90,,,,,,,,,,,,,,,,,,,,,,,
10017,9.657805207,90,,,,,,,,,,,,,,,,,,,,,,,
10018,9.850961312,90,,,,,,,,,,,,,,,,,,,,,,,
10019,1.004798054,91,,,,,,,,,,,,,,,,,,,,,,,
10020,1.024894015,91,,,,,,,,,,,,,,,,,,,,,,,
10021,1.045391895,91,,,,,,,,,,,,,,,,,,,,,,,
10022,1.066299733,91,,,,,,,,,,,,,,,,,,,,,,,
10023,1.087625728,91,,,,,,,,,,,,,,,,,,,,,,,
10024,1.109378242,91,,,,,,,,,,,,,,,,,,,,,,,
10025,1.131565807,91,,,,,,,,,,,,,,,,,,,,,,,
10026,1.154197123,91,,,,,,,,,,,,,,,,,,,,,,,
10027,1.177281066,91,,,,,,,,,,,,,,,,,,,,,,,
10028,1.200826687,91,,,,,,,,,,,,,,,,,,,,,,,
10029,1.224843221,91,,,,,,,,,,,,,,,,,,,,,,,
10030,1.249340085,91,,,,,,,,,,,,,,,,,,,,,,,
10031,1.274326887,91,,,,,,,,,,,,,,,,,,,,,,,
10032,1.299813425,91,,,,,,,,,,,,,,,,,,,,,,,
10033,1.325809693,91,,,,,,,,,,,,,,,,,,,,,,,
10034,1.352325887,91,,,,,,,,,,,,,,,,,,,,,,,
10035,1.379372405,91,,,,,,,,,,,,,,,,,,,,,,,
10036,1.406959853,91,,,,,,,,,,,,,,,,,,,,,,,
10037,1.43509905,91,,,,,,,,,,,,,,,,,,,,,,,
10038,1.463801031,91,,,,,,,,,,,,,,,,,,,,,,,
10039,1.493077052,91,,,,,,,,,,,,,,,,,,,,,,,
10040,1.522938593,91,,,,,,,,,,,,,,,,,,,,,,,
10041,1.553397364,91,,,,,,,,,,,,,,,,,,,,,,,
10042,1.584465312,91,,,,,,,,,,,,,,,,,,,,,,,
10043,1.616154618,91,,,,,,,,,,,,,,,,,,,,,,,
10044,1.64847771,91,,,,,,,,,,,,,,,,,,,,,,,
10045,1.681447264,91,,,,,,,,,,,,,,,,,,,,,,,
10046,1.71507621,91,,,,,,,,,,,,,,,,,,,,,,,
10047,1.749377734,91,,,,,,,,,,,,,,,,,,,,,,,
10048,1.784365289,91,,,,,,,,,,,,,,,,,,,,,,,
10049,1.820052594,91,,,,,,,,,,,,,,,,,,,,,,,
10050,1.856453646,91,,,,,,,,,,,,,,,,,,,,,,,
10051,1.893582719,91,,,,,,,,,,,,,,,,,,,,,,,
10052,1.931454374,91,,,,,,,,,,,,,,,,,,,,,,,
10053,1.970083461,91,,,,,,,,,,,,,,,,,,,,,,,
10054,2.00948513,91,,,,,,,,,,,,,,,,,,,,,,,
10055,2.049674833,91,,,,,,,,,,,,,,,,,,,,,,,
10056,2.09066833,91,,,,,,,,,,,,,,,,,,,,,,,
10057,2.132481696,91,,,,,,,,,,,,,,,,,,,,,,,
10058,2.17513133,91,,,,,,,,,,,,,,,,,,,,,,,
10059,2.218633957,91,,,,,,,,,,,,,,,,,,,,,,,
10060,2.263006636,91,,,,,,,,,,,,,,,,,,,,,,,
10061,2.308266769,91,,,,,,,,,,,,,,,,,,,,,,,
10062,2.354432104,91,,,,,,,,,,,,,,,,,,,,,,,
10063,2.401520746,91,,,,,,,,,,,,,,,,,,,,,,,
10064,2.449551161,91,,,,,,,,,,,,,,,,,,,,,,,
10065,2.498542184,91,,,,,,,,,,,,,,,,,,,,,,,
10066,2.548513028,91,,,,,,,,,,,,,,,,,,,,,,,
10067,2.599483288,91,,,,,,,,,,,,,,,,,,,,,,,
10068,2.651472954,91,,,,,,,,,,,,,,,,,,,,,,,
10069,2.704502413,91,,,,,,,,,,,,,,,,,,,,,,,
10070,2.758592461,91,,,,,,,,,,,,,,,,,,,,,,,
10071,2.813764311,91,,,,,,,,,,,,,,,,,,,,,,,
10072,2.870039597,91,,,,,,,,,,,,,,,,,,,,,,,
10073,2.927440389,91,,,,,,,,,,,,,,,,,,,,,,,
10074,2.985989197,91,,,,,,,,,,,,,,,,,,,,,,,
10075,3.045708981,91,,,,,,,,,,,,,,,,,,,,,,,
10076,3.10662316,91,,,,,,,,,,,,,,,,,,,,,,,
10077,3.168755623,91,,,,,,,,,,,,,,,,,,,,,,,
10078,3.232130736,91,,,,,,,,,,,,,,,,,,,,,,,
10079,3.296773351,91,,,,,,,,,,,,,,,,,,,,,,,
10080,3.362708818,91,,,,,,,,,,,,,,,,,,,,,,,
10081,3.429962994,91,,,,,,,,,,,,,,,,,,,,,,,
10082,3.498562254,91,,,,,,,,,,,,,,,,,,,,,,,
10083,3.568533499,91,,,,,,,,,,,,,,,,,,,,,,,
10084,3.639904169,91,,,,,,,,,,,,,,,,,,,,,,,
10085,3.712702252,91,,,,,,,,,,,,,,,,,,,,,,,
10086,3.786956297,91,,,,,,,,,,,,,,,,,,,,,,,
10087,3.862695423,91,,,,,,,,,,,,,,,,,,,,,,,
10088,3.939949332,91,,,,,,,,,,,,,,,,,,,,,,,
10089,4.018748318,91,,,,,,,,,,,,,,,,,,,,,,,
10090,4.099123285,91,,,,,,,,,,,,,,,,,,,,,,,
10091,4.18110575,91,,,,,,,,,,,,,,,,,,,,,,,
10092,4.264727865,91,,,,,,,,,,,,,,,,,,,,,,,
10093,4.350022423,91,,,,,,,,,,,,,,,,,,,,,,,
10094,4.437022871,91,,,,,,,,,,,,,,,,,,,,,,,
10095,4.525763329,91,,,,,,,,,,,,,,,,,,,,,,,
10096,4.616278595,91,,,,,,,,,,,,,,,,,,,,,,,
10097,4.708604167,91,,,,,,,,,,,,,,,,,,,,,,,
10098,4.80277625,91,,,,,,,,,,,,,,,,,,,,,,,
10099,4.898831775,91,,,,,,,,,,,,,,,,,,,,,,,
10100,4.996808411,91,,,,,,,,,,,,,,,,,,,,,,,
10101,5.096744579,91,,,,,,,,,,,,,,,,,,,,,,,
10102,5.198679471,91,,,,,,,,,,,,,,,,,,,,,,,
10103,5.30265306,91,,,,,,,,,,,,,,,,,,,,,,,
10104,5.408706121,91,,,,,,,,,,,,,,,,,,,,,,,
10105,5.516880244,91,,,,,,,,,,,,,,,,,,,,,,,
10106,5.627217849,91,,,,,,,,,,,,,,,,,,,,,,,
10107,5.739762206,91,,,,,,,,,,,,,,,,,,,,,,,
10108,5.85455745,91,,,,,,,,,,,,,,,,,,,,,,,
10109,5.971648599,91,,,,,,,,,,,,,,,,,,,,,,,
10110,6.091081571,91,,,,,,,,,,,,,,,,,,,,,,,
10111,6.212903202,91,,,,,,,,,,,,,,,,,,,,,,,
10112,6.337161266,91,,,,,,,,,,,,,,,,,,,,,,,
10113,6.463904491,91,,,,,,,,,,,,,,,,,,,,,,,
10114,6.593182581,91,,,,,,,,,,,,,,,,,,,,,,,
10115,6.725046233,91,,,,,,,,,,,,,,,,,,,,,,,
10116,6.859547158,91,,,,,,,,,,,,,,,,,,,,,,,
10117,6.996738101,91,,,,,,,,,,,,,,,,,,,,,,,
10118,7.136672863,91,,,,,,,,,,,,,,,,,,,,,,,
10119,7.27940632,91,,,,,,,,,,,,,,,,,,,,,,,
10120,7.424994446,91,,,,,,,,,,,,,,,,,,,,,,,
10121,7.573494335,91,,,,,,,,,,,,,,,,,,,,,,,
10122,7.724964222,91,,,,,,,,,,,,,,,,,,,,,,,
10123,7.879463506,91,,,,,,,,,,,,,,,,,,,,,,,
10124,8.037052777,91,,,,,,,,,,,,,,,,,,,,,,,
10125,8.197793832,91,,,,,,,,,,,,,,,,,,,,,,,
10126,8.361749709,91,,,,,,,,,,,,,,,,,,,,,,,
10127,8.528984703,91,,,,,,,,,,,,,,,,,,,,,,,
10128,8.699564397,91,,,,,,,,,,,,,,,,,,,,,,,
10129,8.873555685,91,,,,,,,,,,,,,,,,,,,,,,,
10130,9.051026799,91,,,,,,,,,,,,,,,,,,,,,,,
10131,9.232047335,91,,,,,,,,,,,,,,,,,,,,,,,
10132,9.416688281,91,,,,,,,,,,,,,,,,,,,,,,,
10133,9.605022047,91,,,,,,,,,,,,,,,,,,,,,,,
10134,9.797122488,91,,,,,,,,,,,,,,,,,,,,,,,
10135,9.993064938,91,,,,,,,,,,,,,,,,,,,,,,,
10136,1.019292624,92,,,,,,,,,,,,,,,,,,,,,,,
10137,1.039678476,92,,,,,,,,,,,,,,,,,,,,,,,
10138,1.060472046,92,,,,,,,,,,,,,,,,,,,,,,,
10139,1.081681487,92,,,,,,,,,,,,,,,,,,,,,,,
10140,1.103315116,92,,,,,,,,,,,,,,,,,,,,,,,
10141,1.125381419,92,,,,,,,,,,,,,,,,,,,,,,,
10142,1.147889047,92,,,,,,,,,,,,,,,,,,,,,,,
10143,1.170846828,92,,,,,,,,,,,,,,,,,,,,,,,
10144,1.194263764,92,,,,,,,,,,,,,,,,,,,,,,,
10145,1.21814904,92,,,,,,,,,,,,,,,,,,,,,,,
10146,1.242512021,92,,,,,,,,,,,,,,,,,,,,,,,
10147,1.267362261,92,,,,,,,,,,,,,,,,,,,,,,,
10148,1.292709506,92,,,,,,,,,,,,,,,,,,,,,,,
10149,1.318563696,92,,,,,,,,,,,,,,,,,,,,,,,
10150,1.34493497,92,,,,,,,,,,,,,,,,,,,,,,,
10151,1.37183367,92,,,,,,,,,,,,,,,,,,,,,,,
10152,1.399270343,92,,,,,,,,,,,,,,,,,,,,,,,
10153,1.42725575,92,,,,,,,,,,,,,,,,,,,,,,,
10154,1.455800865,92,,,,,,,,,,,,,,,,,,,,,,,
10155,1.484916882,92,,,,,,,,,,,,,,,,,,,,,,,
10156,1.51461522,92,,,,,,,,,,,,,,,,,,,,,,,
10157,1.544907524,92,,,,,,,,,,,,,,,,,,,,,,,
10158,1.575805675,92,,,,,,,,,,,,,,,,,,,,,,,
10159,1.607321788,92,,,,,,,,,,,,,,,,,,,,,,,
10160,1.639468224,92,,,,,,,,,,,,,,,,,,,,,,,
10161,1.672257588,92,,,,,,,,,,,,,,,,,,,,,,,
10162,1.70570274,92,,,,,,,,,,,,,,,,,,,,,,,
10163,1.739816795,92,,,,,,,,,,,,,,,,,,,,,,,
10164,1.774613131,92,,,,,,,,,,,,,,,,,,,,,,,
10165,1.810105394,92,,,,,,,,,,,,,,,,,,,,,,,
10166,1.846307501,92,,,,,,,,,,,,,,,,,,,,,,,
10167,1.883233651,92,,,,,,,,,,,,,,,,,,,,,,,
10168,1.920898324,92,,,,,,,,,,,,,,,,,,,,,,,
10169,1.959316291,92,,,,,,,,,,,,,,,,,,,,,,,
10170,1.998502617,92,,,,,,,,,,,,,,,,,,,,,,,
10171,2.038472669,92,,,,,,,,,,,,,,,,,,,,,,,
10172,2.079242122,92,,,,,,,,,,,,,,,,,,,,,,,
10173,2.120826965,92,,,,,,,,,,,,,,,,,,,,,,,
10174,2.163243504,92,,,,,,,,,,,,,,,,,,,,,,,
10175,2.206508374,92,,,,,,,,,,,,,,,,,,,,,,,
10176,2.250638542,92,,,,,,,,,,,,,,,,,,,,,,,
10177,2.295651313,92,,,,,,,,,,,,,,,,,,,,,,,
10178,2.341564339,92,,,,,,,,,,,,,,,,,,,,,,,
10179,2.388395626,92,,,,,,,,,,,,,,,,,,,,,,,
10180,2.436163538,92,,,,,,,,,,,,,,,,,,,,,,,
10181,2.484886809,92,,,,,,,,,,,,,,,,,,,,,,,
10182,2.534584545,92,,,,,,,,,,,,,,,,,,,,,,,
10183,2.585276236,92,,,,,,,,,,,,,,,,,,,,,,,
10184,2.636981761,92,,,,,,,,,,,,,,,,,,,,,,,
10185,2.689721396,92,,,,,,,,,,,,,,,,,,,,,,,
10186,2.743515824,92,,,,,,,,,,,,,,,,,,,,,,,
10187,2.79838614,92,,,,,,,,,,,,,,,,,,,,,,,
10188,2.854353863,92,,,,,,,,,,,,,,,,,,,,,,,
10189,2.91144094,92,,,,,,,,,,,,,,,,,,,,,,,
10190,2.969669759,92,,,,,,,,,,,,,,,,,,,,,,,
10191,3.029063154,92,,,,,,,,,,,,,,,,,,,,,,,
10192,3.089644418,92,,,,,,,,,,,,,,,,,,,,,,,
10193,3.151437306,92,,,,,,,,,,,,,,,,,,,,,,,
10194,3.214466052,92,,,,,,,,,,,,,,,,,,,,,,,
10195,3.278755373,92,,,,,,,,,,,,,,,,,,,,,,,
10196,3.344330481,92,,,,,,,,,,,,,,,,,,,,,,,
10197,3.41121709,92,,,,,,,,,,,,,,,,,,,,,,,
10198,3.479441432,92,,,,,,,,,,,,,,,,,,,,,,,
10199,3.549030261,92,,,,,,,,,,,,,,,,,,,,,,,
10200,3.620010866,92,,,,,,,,,,,,,,,,,,,,,,,
10201,3.692411083,92,,,,,,,,,,,,,,,,,,,,,,,
10202,3.766259305,92,,,,,,,,,,,,,,,,,,,,,,,
10203,3.841584491,92,,,,,,,,,,,,,,,,,,,,,,,
10204,3.918416181,92,,,,,,,,,,,,,,,,,,,,,,,
10205,3.996784504,92,,,,,,,,,,,,,,,,,,,,,,,
10206,4.076720194,92,,,,,,,,,,,,,,,,,,,,,,,
10207,4.158254598,92,,,,,,,,,,,,,,,,,,,,,,,
10208,4.24141969,92,,,,,,,,,,,,,,,,,,,,,,,
10209,4.326248084,92,,,,,,,,,,,,,,,,,,,,,,,
10210,4.412773046,92,,,,,,,,,,,,,,,,,,,,,,,
10211,4.501028507,92,,,,,,,,,,,,,,,,,,,,,,,
10212,4.591049077,92,,,,,,,,,,,,,,,,,,,,,,,
10213,4.682870058,92,,,,,,,,,,,,,,,,,,,,,,,
10214,4.776527459,92,,,,,,,,,,,,,,,,,,,,,,,
10215,4.872058009,92,,,,,,,,,,,,,,,,,,,,,,,
10216,4.969499169,92,,,,,,,,,,,,,,,,,,,,,,,
10217,5.068889152,92,,,,,,,,,,,,,,,,,,,,,,,
10218,5.170266935,92,,,,,,,,,,,,,,,,,,,,,,,
10219,5.273672274,92,,,,,,,,,,,,,,,,,,,,,,,
10220,5.379145719,92,,,,,,,,,,,,,,,,,,,,,,,
10221,5.486728634,92,,,,,,,,,,,,,,,,,,,,,,,
10222,5.596463206,92,,,,,,,,,,,,,,,,,,,,,,,
10223,5.708392471,92,,,,,,,,,,,,,,,,,,,,,,,
10224,5.82256032,92,,,,,,,,,,,,,,,,,,,,,,,
10225,5.939011526,92,,,,,,,,,,,,,,,,,,,,,,,
10226,6.057791757,92,,,,,,,,,,,,,,,,,,,,,,,
10227,6.178947592,92,,,,,,,,,,,,,,,,,,,,,,,
10228,6.302526544,92,,,,,,,,,,,,,,,,,,,,,,,
10229,6.428577075,92,,,,,,,,,,,,,,,,,,,,,,,
10230,6.557148616,92,,,,,,,,,,,,,,,,,,,,,,,
10231,6.688291589,92,,,,,,,,,,,,,,,,,,,,,,,
10232,6.82205742,92,,,,,,,,,,,,,,,,,,,,,,,
10233,6.958498569,92,,,,,,,,,,,,,,,,,,,,,,,
10234,7.09766854,92,,,,,,,,,,,,,,,,,,,,,,,
10235,7.239621911,92,,,,,,,,,,,,,,,,,,,,,,,
10236,7.384414349,92,,,,,,,,,,,,,,,,,,,,,,,
10237,7.532102636,92,,,,,,,,,,,,,,,,,,,,,,,
10238,7.682744689,92,,,,,,,,,,,,,,,,,,,,,,,
10239,7.836399583,92,,,,,,,,,,,,,,,,,,,,,,,
10240,7.993127574,92,,,,,,,,,,,,,,,,,,,,,,,
10241,8.152990126,92,,,,,,,,,,,,,,,,,,,,,,,
10242,8.316049928,92,,,,,,,,,,,,,,,,,,,,,,,
10243,8.482370927,92,,,,,,,,,,,,,,,,,,,,,,,
10244,8.652018345,92,,,,,,,,,,,,,,,,,,,,,,,
10245,8.825058712,92,,,,,,,,,,,,,,,,,,,,,,,
10246,9.001559887,92,,,,,,,,,,,,,,,,,,,,,,,
10247,9.181591084,92,,,,,,,,,,,,,,,,,,,,,,,
10248,9.365222906,92,,,,,,,,,,,,,,,,,,,,,,,
10249,9.552527364,92,,,,,,,,,,,,,,,,,,,,,,,
10250,9.743577911,92,,,,,,,,,,,,,,,,,,,,,,,
10251,9.93844947,92,,,,,,,,,,,,,,,,,,,,,,,
10252,1.013721846,93,,,,,,,,,,,,,,,,,,,,,,,
10253,1.033996283,93,,,,,,,,,,,,,,,,,,,,,,,
10254,1.054676208,93,,,,,,,,,,,,,,,,,,,,,,,
10255,1.075769733,93,,,,,,,,,,,,,,,,,,,,,,,
10256,1.097285127,93,,,,,,,,,,,,,,,,,,,,,,,
10257,1.11923083,93,,,,,,,,,,,,,,,,,,,,,,,
10258,1.141615446,93,,,,,,,,,,,,,,,,,,,,,,,
10259,1.164447755,93,,,,,,,,,,,,,,,,,,,,,,,
10260,1.18773671,93,,,,,,,,,,,,,,,,,,,,,,,
10261,1.211491445,93,,,,,,,,,,,,,,,,,,,,,,,
10262,1.235721274,93,,,,,,,,,,,,,,,,,,,,,,,
10263,1.260435699,93,,,,,,,,,,,,,,,,,,,,,,,
10264,1.285644413,93,,,,,,,,,,,,,,,,,,,,,,,
10265,1.311357301,93,,,,,,,,,,,,,,,,,,,,,,,
10266,1.337584447,93,,,,,,,,,,,,,,,,,,,,,,,
10267,1.364336136,93,,,,,,,,,,,,,,,,,,,,,,,
10268,1.391622859,93,,,,,,,,,,,,,,,,,,,,,,,
